user_id,timestamp,event,device,os_version,region,referral_source
3,2025-07-01 09:54:00,App Install,Android,11,Brazil,Instagram
3,2025-07-01 09:55:00,Account Registration,Android,11,Brazil,Instagram
3,2025-07-01 09:56:00,Email/Mobile Verification,Android,11,Brazil,Instagram
4,2025-07-01 14:26:00,App Install,iOS,16.2,UK,Facebook
4,2025-07-01 14:27:00,Account Registration,iOS,16.2,UK,Facebook
5,2025-07-01 12:18:00,App Install,iOS,14.4,India,Referral
5,2025-07-01 12:19:00,Account Registration,iOS,14.4,India,Referral
8,2025-07-01 11:43:00,App Install,Android,10,US,Organic
8,2025-07-01 11:44:00,Account Registration,Android,10,US,Organic
9,2025-07-01 21:38:00,App Install,iOS,16.2,UK,Google Ads
9,2025-07-01 21:39:00,Account Registration,iOS,16.2,UK,Google Ads
9,2025-07-01 21:40:00,Email/Mobile Verification,iOS,16.2,UK,Google Ads
9,2025-07-01 21:41:00,Identity Verification (KYC),iOS,16.2,UK,Google Ads
10,2025-07-01 21:57:00,App Install,Android,11,US,Referral
10,2025-07-01 21:58:00,Account Registration,Android,11,US,Referral
10,2025-07-01 21:59:00,Email/Mobile Verification,Android,11,US,Referral
11,2025-07-01 19:46:00,App Install,iOS,14.4,US,Facebook
12,2025-07-02 06:56:00,App Install,iOS,14.4,Germany,Referral
13,2025-07-02 04:55:00,App Install,Android,12,Brazil,Referral
15,2025-07-01 22:08:00,App Install,Android,13,Brazil,Facebook
15,2025-07-01 22:09:00,Account Registration,Android,13,Brazil,Facebook
15,2025-07-01 22:10:00,Email/Mobile Verification,Android,13,Brazil,Facebook
15,2025-07-01 22:11:00,Identity Verification (KYC),Android,13,Brazil,Facebook
15,2025-07-01 22:12:00,Setup PIN / Add Payment Method,Android,13,Brazil,Facebook
16,2025-07-01 19:01:00,App Install,Android,12,UK,Facebook
16,2025-07-01 19:02:00,Account Registration,Android,12,UK,Facebook
16,2025-07-01 19:03:00,Email/Mobile Verification,Android,12,UK,Facebook
16,2025-07-01 19:04:00,Identity Verification (KYC),Android,12,UK,Facebook
18,2025-07-01 09:01:00,App Install,iOS,14.4,Brazil,Instagram
18,2025-07-01 09:02:00,Account Registration,iOS,14.4,Brazil,Instagram
19,2025-07-01 17:13:00,App Install,iOS,15.1,US,Facebook
19,2025-07-01 17:14:00,Account Registration,iOS,15.1,US,Facebook
20,2025-07-01 13:22:00,App Install,iOS,14.4,Brazil,Google Ads
20,2025-07-01 13:23:00,Account Registration,iOS,14.4,Brazil,Google Ads
21,2025-07-01 19:38:00,App Install,iOS,14.4,Brazil,Google Ads
21,2025-07-01 19:39:00,Account Registration,iOS,14.4,Brazil,Google Ads
22,2025-07-01 11:11:00,App Install,iOS,14.4,US,Google Ads
22,2025-07-01 11:12:00,Account Registration,iOS,14.4,US,Google Ads
24,2025-07-01 17:07:00,App Install,Android,12,India,Instagram
24,2025-07-01 17:08:00,Account Registration,Android,12,India,Instagram
24,2025-07-01 17:09:00,Email/Mobile Verification,Android,12,India,Instagram
24,2025-07-01 17:10:00,Identity Verification (KYC),Android,12,India,Instagram
24,2025-07-01 17:11:00,Setup PIN / Add Payment Method,Android,12,India,Instagram
26,2025-07-02 00:56:00,App Install,iOS,15.1,Germany,Referral
27,2025-07-01 12:43:00,App Install,Android,10,Germany,Organic
28,2025-07-01 18:30:00,App Install,iOS,14.4,Germany,Google Ads
28,2025-07-01 18:31:00,Account Registration,iOS,14.4,Germany,Google Ads
29,2025-07-01 12:11:00,App Install,Android,10,Brazil,Facebook
29,2025-07-01 12:12:00,Account Registration,Android,10,Brazil,Facebook
31,2025-07-01 18:44:00,App Install,Android,13,UK,Referral
31,2025-07-01 18:45:00,Account Registration,Android,13,UK,Referral
31,2025-07-01 18:46:00,Email/Mobile Verification,Android,13,UK,Referral
31,2025-07-01 18:47:00,Identity Verification (KYC),Android,13,UK,Referral
31,2025-07-01 18:48:00,Setup PIN / Add Payment Method,Android,13,UK,Referral
33,2025-07-02 01:16:00,App Install,iOS,14.4,India,Instagram
33,2025-07-02 01:17:00,Account Registration,iOS,14.4,India,Instagram
34,2025-07-01 11:19:00,App Install,Android,11,India,Instagram
35,2025-07-01 10:21:00,App Install,Android,11,Brazil,Instagram
35,2025-07-01 10:22:00,Account Registration,Android,11,Brazil,Instagram
35,2025-07-01 10:23:00,Email/Mobile Verification,Android,11,Brazil,Instagram
35,2025-07-01 10:24:00,Identity Verification (KYC),Android,11,Brazil,Instagram
35,2025-07-01 10:25:00,Setup PIN / Add Payment Method,Android,11,Brazil,Instagram
36,2025-07-01 13:28:00,App Install,iOS,14.4,UK,Referral
37,2025-07-02 06:12:00,App Install,iOS,14.4,India,Referral
37,2025-07-02 06:13:00,Account Registration,iOS,14.4,India,Referral
38,2025-07-01 11:20:00,App Install,Android,12,US,Organic
38,2025-07-01 11:21:00,Account Registration,Android,12,US,Organic
39,2025-07-02 07:47:00,App Install,iOS,16.2,Brazil,Facebook
40,2025-07-01 12:39:00,App Install,Android,11,UK,Facebook
41,2025-07-01 15:56:00,App Install,iOS,16.2,US,Organic
41,2025-07-01 15:57:00,Account Registration,iOS,16.2,US,Organic
41,2025-07-01 15:58:00,Email/Mobile Verification,iOS,16.2,US,Organic
43,2025-07-02 03:49:00,App Install,Android,12,US,Referral
43,2025-07-02 03:50:00,Account Registration,Android,12,US,Referral
45,2025-07-01 10:21:00,App Install,Android,10,UK,Organic
46,2025-07-01 22:52:00,App Install,Android,10,UK,Instagram
46,2025-07-01 22:53:00,Account Registration,Android,10,UK,Instagram
46,2025-07-01 22:54:00,Email/Mobile Verification,Android,10,UK,Instagram
47,2025-07-01 15:07:00,App Install,Android,11,Germany,Facebook
47,2025-07-01 15:08:00,Account Registration,Android,11,Germany,Facebook
47,2025-07-01 15:09:00,Email/Mobile Verification,Android,11,Germany,Facebook
47,2025-07-01 15:10:00,Identity Verification (KYC),Android,11,Germany,Facebook
47,2025-07-01 15:11:00,Setup PIN / Add Payment Method,Android,11,Germany,Facebook
47,2025-07-01 15:12:00,Onboarding Complete,Android,11,Germany,Facebook
48,2025-07-01 10:19:00,App Install,iOS,14.4,India,Referral
50,2025-07-01 11:22:00,App Install,Android,13,UK,Organic
53,2025-07-02 05:41:00,App Install,iOS,15.1,UK,Referral
54,2025-07-01 09:03:00,App Install,Android,12,India,Referral
54,2025-07-01 09:04:00,Account Registration,Android,12,India,Referral
54,2025-07-01 09:05:00,Email/Mobile Verification,Android,12,India,Referral
